order_item_id,order_id,product_id,quantity
1,1,26,3
2,1,12,1
3,2,35,1
4,2,17,2
5,2,12,5
6,2,38,2
7,3,15,3
8,3,20,1
9,4,1,1
10,5,42,4
11,6,23,2
12,7,41,5
13,8,33,2
14,8,17,1
15,8,16,1
16,8,1,4
17,9,29,1
18,9,15,3
19,9,9,3
20,9,40,4
21,10,49,5
22,10,37,4
23,10,36,3
24,11,6,5
25,11,11,5
26,12,20,2
27,12,11,2
28,12,26,4
29,12,3,2
30,13,45,2
31,14,24,1
32,14,23,3
33,14,34,4
34,14,12,4
35,15,45,5
36,16,1,1
37,16,29,1
38,17,11,5
39,17,15,1
40,17,46,2
41,18,28,2
42,18,45,1
43,19,5,5
44,19,23,1
45,20,47,5
46,20,1,1
47,20,44,4
48,20,24,1
49,21,33,4
50,22,35,3
51,22,24,5
52,23,47,5
53,24,37,4
54,24,48,2
55,24,30,1
56,25,36,1
57,25,34,3
58,25,3,2
59,25,46,4
60,26,5,4
61,26,36,5
62,27,33,4
63,27,38,2
64,28,22,1
65,28,20,5
66,28,4,2
67,29,47,4
68,29,49,2
69,30,4,2
70,31,40,5
71,31,19,2
72,32,9,2
73,32,43,1
74,33,6,3
75,33,18,2
76,33,32,2
77,34,5,4
78,35,37,2
79,35,39,1
80,35,46,2
81,36,9,1
82,37,4,2
83,37,18,2
84,38,9,4
85,38,46,4
86,39,9,2
87,39,45,3
88,39,7,2
89,40,50,2
90,41,27,3
91,42,27,3
92,43,13,3
93,43,1,5
94,43,44,2
95,43,4,4
96,44,30,1
97,44,23,5
98,44,26,5
99,44,38,2
100,45,50,1
101,45,5,2
102,46,27,1
103,47,20,2
104,47,25,5
105,47,39,5
106,47,3,2
107,48,2,3
108,49,48,3
109,49,35,1
110,50,26,1
111,50,11,2
112,50,10,1
113,50,37,4
114,51,1,4
115,51,33,5
116,51,4,3
117,51,24,4
118,52,30,2
119,52,49,4
120,52,3,2
121,52,25,1
122,53,24,3
123,53,4,3
124,53,20,3
125,53,38,1
126,54,28,3
127,54,26,5
128,54,13,2
129,54,44,2
130,55,23,5
131,55,1,4
132,55,20,2
133,55,42,4
134,56,9,4
135,56,11,2
136,57,8,3
137,57,6,2
138,57,19,4
139,57,10,2
140,58,42,3
141,58,36,3
142,58,45,2
143,59,44,5
144,60,35,4
145,61,48,5
146,62,10,3
147,62,41,1
148,62,16,5
149,62,47,5
150,63,17,3
151,63,15,2
152,63,13,2
153,63,36,3
154,64,12,3
155,64,24,5
156,64,43,2
157,64,4,2
158,65,17,1
159,65,13,2
160,66,6,3
161,67,26,3
162,67,2,3
163,67,24,4
164,67,47,4
165,68,32,4
166,68,22,5
167,68,30,3
168,69,13,4
169,69,24,3
170,69,16,5
171,70,18,5
172,70,26,5
173,70,25,4
174,70,47,1
175,71,14,2
176,71,18,3
