order_id,customer_id,order_date,sales_channel,order_status
1,662,2025-07-19,Store,Completed
2,270,2025-02-10,Store,Returned
3,246,2025-09-22,Mobile App,Returned
4,702,2025-05-20,Store,Returned
5,761,2025-09-30,Store,Completed
6,193,2025-02-05,Online,Completed
7,297,2025-02-26,Mobile App,Completed
8,633,2025-08-20,Store,Returned
9,638,2025-09-09,Online,Completed
10,20,2025-03-19,Online,Cancelled
11,23,2025-04-06,Online,Completed
12,276,2025-03-06,Mobile App,Completed
13,745,2025-01-05,Online,Completed
14,155,2025-01-08,Store,Completed
15,351,2025-08-04,Store,Completed
16,381,2025-08-26,Mobile App,Completed
17,339,2025-02-11,Online,Completed
18,273,2025-07-20,Online,Cancelled
19,482,2025-04-03,Online,Completed
20,837,2025-07-15,Online,Completed
21,998,2025-05-08,Store,Completed
22,254,2025-01-18,Online,Completed
23,753,2025-02-18,Mobile App,Returned
24,214,2025-08-31,Store,Returned
25,985,2025-06-09,Store,Completed
26,645,2025-01-22,Mobile App,Cancelled
27,534,2025-03-04,Store,Completed
28,654,2025-06-02,Online,Completed
29,909,2025-01-27,Mobile App,Completed
30,997,2025-02-27,Online,Returned
31,445,2025-06-16,Online,Completed
32,814,2025-05-22,Mobile App,Completed
33,406,2025-05-05,Online,Completed
34,596,2025-12-20,Store,Returned
35,611,2025-03-21,Store,Completed
36,255,2025-03-22,Store,Completed
37,703,2025-11-13,Store,Returned
38,62,2025-01-31,Store,Returned
39,158,2025-12-26,Mobile App,Completed
40,129,2025-09-07,Online,Completed
41,572,2025-11-27,Store,Completed
42,751,2025-04-09,Online,Returned
43,387,2025-07-03,Mobile App,Completed
44,257,2025-01-21,Store,Returned
45,449,2025-10-14,Store,Cancelled
46,714,2025-09-08,Online,Cancelled
47,192,2025-10-06,Store,Completed
48,750,2025-08-28,Store,Cancelled
49,937,2025-10-11,Online,Completed
50,544,2025-03-21,Store,Completed
51,840,2025-05-15,Mobile App,Completed
52,465,2025-01-01,Mobile App,Cancelled
53,389,2025-04-05,Online,Cancelled
54,878,2025-07-06,Mobile App,Completed
55,329,2025-02-02,Mobile App,Cancelled
56,839,2025-07-18,Online,Cancelled
57,700,2025-09-12,Mobile App,Completed
58,628,2025-05-25,Store,Completed
59,657,2025-06-14,Online,Completed
60,536,2025-12-04,Online,Completed
61,856,2025-03-08,Online,Completed
62,207,2025-02-24,Store,Completed
63,102,2025-01-17,Mobile App,Returned
64,857,2025-07-18,Mobile App,Completed
65,539,2025-11-16,Mobile App,Cancelled
66,263,2025-01-26,Store,Completed
67,621,2025-02-06,Online,Completed
68,672,2025-09-09,Online,Completed
69,821,2025-11-24,Online,Completed
70,572,2025-08-01,Store,Returned
71,60,2025-11-12,Store,Cancelled
72,42,2025-02-06,Store,Completed
73,968,2025-04-21,Mobile App,Completed
74,104,2025-04-29,Mobile App,Completed
75,195,2025-04-09,Mobile App,Returned
76,255,2025-10-19,Mobile App,Completed
77,572,2025-10-13,Store,Returned
78,109,2025-11-23,Mobile App,Completed
79,691,2025-08-23,Mobile App,Returned
80,438,2025-02-23,Online,Completed
81,564,2025-07-25,Mobile App,Completed
82,674,2025-03-22,Mobile App,Cancelled
83,454,2025-06-30,Store,Cancelled
84,333,2025-07-10,Store,Returned
85,441,2025-06-15,Mobile App,Completed
86,577,2025-10-07,Online,Completed
87,785,2025-10-09,Mobile App,Completed
88,369,2025-08-20,Store,Completed
89,1,2025-01-18,Store,Cancelled
90,17,2025-09-23,Online,Completed
91,7,2025-06-03,Online,Completed
92,877,2025-06-11,Online,Returned
93,843,2025-05-22,Mobile App,Cancelled
94,570,2025-10-20,Mobile App,Completed
95,97,2025-01-20,Store,Completed
96,160,2025-03-12,Store,Completed
97,911,2025-10-26,Online,Completed
98,263,2025-06-03,Online,Cancelled
99,410,2025-10-19,Online,Returned
100,80,2025-06-16,Store,Completed
101,500,2025-12-20,Mobile App,Cancelled
102,840,2025-02-18,Mobile App,Returned
103,308,2025-01-20,Mobile App,Cancelled
104,391,2025-02-10,Online,Completed
105,357,2025-08-11,Store,Completed
106,891,2025-04-27,Mobile App,Returned
107,870,2025-11-05,Online,Returned
108,797,2025-11-20,Store,Completed
109,313,2025-09-26,Online,Completed
110,553,2025-10-17,Online,Completed
111,515,2025-12-24,Online,Completed
112,52,2025-12-11,Mobile App,Completed
113,995,2025-08-17,Mobile App,Cancelled
114,517,2025-02-16,Online,Completed
115,297,2025-07-21,Online,Completed
116,345,2025-02-12,Store,Cancelled
117,764,2025-01-26,Mobile App,Completed
118,269,2025-02-13,Store,Cancelled
119,445,2025-12-24,Online,Completed
120,493,2025-10-14,Online,Completed
121,405,2025-11-30,Mobile App,Completed
122,575,2025-11-12,Mobile App,Cancelled
123,253,2025-05-05,Online,Completed
124,796,2025-08-09,Store,Returned
125,947,2025-10-22,Online,Completed
126,688,2025-07-31,Store,Completed
127,357,2025-04-08,Store,Completed
128,609,2025-12-02,Online,Completed
129,174,2025-06-29,Mobile App,Completed
130,639,2025-03-16,Store,Completed
131,947,2025-04-30,Online,Returned
132,383,2025-03-21,Mobile App,Completed
133,116,2025-01-28,Online,Cancelled
134,949,2025-03-17,Store,Completed
135,352,2025-12-22,Online,Completed
136,461,2025-08-30,Online,Completed
137,215,2025-10-03,Online,Completed
138,560,2025-09-25,Store,Cancelled
139,495,2025-11-15,Mobile App,Completed
140,712,2025-12-24,Mobile App,Completed
141,386,2025-10-26,Mobile App,Cancelled
142,45,2025-05-11,Online,Completed
143,291,2025-04-13,Mobile App,Cancelled
144,278,2025-01-28,Store,Returned
145,968,2025-01-05,Online,Completed
146,677,2025-05-19,Mobile App,Returned
147,369,2025-02-25,Online,Completed
148,889,2025-11-29,Store,Completed
149,390,2025-09-18,Mobile App,Completed
150,926,2025-06-11,Store,Cancelled
151,545,2025-02-15,Online,Completed
152,513,2025-08-23,Mobile App,Returned
153,23,2025-01-21,Online,Cancelled
154,313,2025-06-20,Store,Completed
155,763,2025-03-22,Online,Completed
156,701,2025-06-30,Store,Returned
157,310,2025-05-01,Mobile App,Completed
158,832,2025-02-01,Mobile App,Completed
159,900,2025-07-18,Online,Cancelled
160,972,2025-05-24,Online,Completed
161,350,2025-07-21,Mobile App,Completed
162,90,2025-07-15,Mobile App,Returned
163,628,2025-11-17,Mobile App,Completed
164,428,2025-05-04,Mobile App,Completed
165,437,2025-06-09,Mobile App,Completed
